analyte_group,analyte_name_deq,cas_number,mol_weight_g_mol,pah_toxicity_equivalent_factor,oregon_abc_ug_m3,hr24_rbc_cao_ug_m3
Metals,"Antimony, Total",7440-36-0,,,,1
Metals,"Arsenic, Total",7440-38-2,,,0.0002,0.2
Metals,"Beryllium, Total",7440-41-7,,,0.0004,0.02
Metals,"Cadmium, Total",7440-43-9,,,0.0006,0.03
Metals,"Chromium, Total",7440-47-3,,,,
Metals,"Cobalt, Total",7440-48-4,,,0.1,
Metals,Hexavalent Chromium [Cr(VI)],18540-29-9,,,0.00008,0.3
Metals,"Lead, Total",7439-92-1,,,0.15,0.15
Metals,"Manganese, Total",7439-96-5,,,0.09,0.3
Metals,"Nickel, Total",7440-02-0,,,0.004,0.2
Metals,"Selenium, Total",7782-49-2,,,,2
VOCs,"1,1,1-Trichloroethane",71-55-6,133.4100037,,5000,11000
VOCs,"1,1,2,2-Tetrachloroethane",79-34-5,167.8500061,,,
VOCs,"1,1,2-Trichloroethane",79-00-5,133.4100037,,,
VOCs,"1,1-Dichloroethane",75-34-3,98.95999908,,,
VOCs,"1,1-Dichloroethylene",75-35-4,96.94300079,,,200
VOCs,"1,2,4-Trichlorobenzene",120-82-1,181.4499969,,,
VOCs,"1,2,4-Trimethylbenzene",95-63-6,120.1999969,,,
VOCs,"1,2-Dibromoethane (EDB)",106-93-4,187.8600006,,,
VOCs,"1,2-Dichlorobenzene",95-50-1,147.0019989,,,
VOCs,"1,2-Dichloroethane (EDC)",107-06-2,98.95999908,,,
VOCs,"1,2-Dichloropropane",78-87-5,112.9899979,,,230
VOCs,"1,2-Dimethylbenzene",95-47-6,106.1699982,,,8700
VOCs,"1,3,5-Trimethylbenzene",108-67-8,120.1900024,,,
VOCs,"1,3-Butadiene",106-99-0,54.09000015,,0.03,660
VOCs,"1,3-Dichlorobenzene",541-73-1,147.0019989,,,
VOCs,"1,4-Dichlorobenzene",106-46-7,147.0019989,,0.09,12000
VOCs,"1,4-Dimethylbenzene + 1,3-Dimethylbenzene",108-38-3,106.1699982,,,8700
VOCs,"1,4-Dioxane",123-91-1,88.11000061,,,7200
VOCs,2-Butanone (MEK),78-93-3,72.11000061,,,5000
VOCs,"2-Chloro-1,3-butadiene",126-99-8,88.54000092,,,
VOCs,2-Hexanone,591-78-6,100.1600037,,,
VOCs,4-Ethyltoluene,622-96-8,120.1999969,,,
VOCs,4-Methyl-2-pentanone (MIBK),108-10-1,100.1600037,,,
VOCs,Acetone,67-64-1,58.07899857,,,62000
VOCs,Acetonitrile,75-05-8,41.05199814,,,
VOCs,Acrolein,107-02-8,56.06299973,,0.35,6.9
VOCs,Acrylonitrile,107-13-1,53.06299973,,0.01,220
VOCs,Benzene,71-43-2,78.11000061,,0.13,29
VOCs,Benzyl chloride,100-44-7,126.5899963,,,240
VOCs,Bromodichloromethane,75-27-4,163.8300018,,,
VOCs,Bromoform,75-25-2,252.75,,,
VOCs,Bromomethane,74-83-9,94.93900299,,,3900
VOCs,Carbon disulfide,75-15-0,76.14299774,,,6200
VOCs,Carbon tetrachloride,56-23-5,153.8200073,,0.2,1900
VOCs,Chlorobenzene,108-90-7,112.5599976,,,
VOCs,Chloroethane,75-00-3,64.51399994,,,40000
VOCs,Chloroform,67-66-3,119.3799973,,300,490
VOCs,Chloromethane,74-87-3,50.48699951,,,1000
VOCs,"cis-1,2-Dichloroethene",156-59-2,96.94000244,,,
VOCs,"cis-1,3-Dichloropropene",10061-01-5,110.9700012,,,
VOCs,Cyclohexane,110-82-7,84.16000366,,,
VOCs,Dibromochloromethane,124-48-1,208.2799988,,,
VOCs,Dichlorodifluoromethane (Freon 12),75-71-8,120.9100037,,,
VOCs,Dichlorotetrafluoroethane (Freon 114),76-14-2,170.9199982,,,
VOCs,Ethylbenzene,100-41-4,106.1699982,,0.4,22000
VOCs,"Hexachloro-1,3-butadiene",87-68-3,260.7600098,,,
VOCs,Isopropanol,67-63-0,60.09999847,,,3200
VOCs,Methyl tert-butyl ether (MTBE),1634-04-4,88.15000153,,,8000
VOCs,Methylene chloride,75-09-2,84.93199921,,100,2100
VOCs,Methylmethacrylate,80-62-6,100.1200027,,,
VOCs,n-Heptane,142-82-5,100.2099991,,,
VOCs,n-Hexane,110-54-3,86.18000031,,700,
VOCs,Styrene,100-42-5,104.1500015,,1000,21000
VOCs,Tetrachloroethylene,127-18-4,165.8300018,,4,41
VOCs,Tetrahydrofuran,109-99-9,72.11000061,,,
VOCs,Toluene,108-88-3,92.13999939,,5000,7500
VOCs,"trans-1,2-Dichloroethene",156-60-5,96.94300079,,,790
VOCs,"trans-1,3-Dichloropropene",10061-02-6,110.9700012,,,
VOCs,Trichloroethylene,79-01-6,131.3899994,,0.2,2.1
VOCs,Trichlorofluoromethane (Freon 11),75-69-4,137.3699951,,,
VOCs,Trichlotrifluoroethane (freon 113),76-13-1,187.3800049,,,
VOCs,vinyl chloride,75-01-4,62.4980011,,0.1,1300
PAHs,Acenaphthene,83-32-9,,,0.002,
PAHs,Acenaphthylene,208-96-8,,,,
PAHs,Anthracene,120-12-7,,0,,
PAHs,Benzo(a)anthracene,56-55-3,,0.2,,
PAHs,Benzo(a)pyrene,50-32-8,,1,,0.002
PAHs,Benzo(b)fluoranthene,205-99-2,,0.8,,
PAHs,Benzo(e)pyrene,192-97-2,,,,
PAHs,"Benzo(g,h,i)perylene",191-24-2,,0.009,,
PAHs,Benzo(k)fluoranthene,207-08-9,,0.03,,
PAHs,Chrysene,218-01-9,,0.1,,
PAHs,Coronene,191-07-1,,,,
PAHs,"Dibenzo(a,h)anthracene",53-70-3,,10,,
PAHs,Dibenzofuran,132-64-9,,,,
PAHs,Dibenzothiophene,132-65-0,,,,
PAHs,Fluoranthene,206-44-0,,0.08,,
PAHs,Fluorene,86-73-7,,,,
PAHs,"Indeno(1,2,3-cd)pyrene",193-39-5,,0.07,,
PAHs,Perylene,198-55-0,,,,
PAHs,Phenanthrene,85-01-8,,0,,
PAHs,Pyrene,129-00-0,,0,,
PAHs,Naphthalene,91-20-3,,,0.03,200
Carbonyls,"2,5-Dimethylbenzaldehyde",5779-94-2,,,,
Carbonyls,2-Butanone (MEK),78-93-3,,,,5000
Carbonyls,Acetaldehyde,75-07-0,,,0.45,470
Carbonyls,Acetone,67-64-1,,,,62000
Carbonyls,Benzaldehyde,100-52-7,,,,
Carbonyls,Butyraldehyde,123-72-8,,,,
Carbonyls,Crotonaldehyde,123-73-9,,,,
Carbonyls,Formaldehyde,50-00-0,,,0.2,49
Carbonyls,Hexaldehyde,66-25-1,,,,
Carbonyls,Isovaleraldehyde,590-86-3,,,,
Carbonyls,m-Tolualdehyde,620-23-5,,,,
Carbonyls,o-Tolualdehyde,529-20-4,,,,
Carbonyls,Propionaldehyde,123-38-6,,,,
Carbonyls,p-Tolualdehyde,104-87-0,,,,
Carbonyls,Valeraldehyde,110-62-3,,,,
